#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),yulab_data\1204\cevent_eye_roi_child.csv,,,yulab_data\1204\cevent_eye_roi_parent.csv,,,
#onset1,offset1,category1,index1,onset2,offset2,category2,index2
43.3,43.667,23,4,44.033,44.467,23,7
43.733,44.833,22,5,45.033,45.4,22,9
54.1,54.533,15,12,54.7,56.2,15,17
62.433,63.8,14,16,64.7,68.8,14,23
105.7,109.2,3,34,109.57,109.9,3,54
115.93,116.57,20,38,116.97,117.27,20,59
117.67,118.07,20,40,118.83,119.2,20,61
129.07,129.4,23,46,130.3,131.03,23,70
142.9,143.4,7,52,144.03,144.7,7,74
182.5,182.73,25,61,183.57,189.37,25,91
193.97,195.3,25,64,195.53,197.37,25,95
196.37,198.07,25,65,198.87,199.37,25,97
239.73,240,15,77,240.57,240.83,15,127
262.63,264.37,1,85,264.4,264.63,1,136
