#more(on1;_off2;_0.3)_&_less(off1;_on2;_1),yulab_data\1204\cevent_eye_roi_child.csv,,,,
#onset,offset,cat,index
38.467,39.067,23,1
39.133,40.133,7,2
42.033,43.233,17,3
44.9,45.333,18,6
45.533,45.967,17,7
46.833,47.533,21,8
47.8,49.833,23,9
50.267,51.4,16,10
52.633,53.367,15,11
57.533,58.433,23,13
58.533,61.267,15,14
61.633,62.033,17,15
64.967,67.5,15,17
67.567,68.433,14,18
68.5,68.8,17,19
69.367,74.633,14,20
74.7,75.333,9,21
75.4,75.8,17,22
76.067,76.3,23,23
76.367,81.433,14,24
81.967,84.4,15,25
84.5,85.133,22,26
85.2,86.1,15,27
86.433,87.367,6,28
87.567,88.3,15,29
88.4,88.633,6,30
89.167,90.467,6,31
90.9,98.167,19,32
103.57,104.97,3,33
109.53,112.3,13,35
112.6,113.17,15,36
113.43,114.23,20,37
116.87,117.33,13,39
118.1,119.2,13,41
121.37,122.33,25,42
122.97,123.3,15,43
123.4,125.1,3,44
125.33,127.53,19,45
130.1,130.73,15,47
130.9,132.2,23,48
132.3,132.8,15,49
133.23,141.53,7,50
141.63,142.27,23,51
143.47,144.13,20,53
147.8,148.17,13,54
148.43,148.8,15,55
149.17,149.6,13,56
151.03,152.2,15,57
178.27,178.67,3,58
179.43,180.27,25,59
181.4,181.67,25,60
186.43,187.07,25,62
192.77,193.2,25,63
203.33,203.57,16,66
203.63,204.03,25,67
219.97,220.97,22,68
221.03,221.97,8,69
229.43,230.13,15,70
230.33,231.4,16,71
231.73,233.33,1,72
234.43,234.7,16,73
235.17,236.43,15,74
236.57,236.8,16,75
236.9,239.57,1,76
240.1,241.57,23,78
241.87,242.23,15,79
242.3,248.17,1,80
249.03,249.3,1,81
251.37,253.47,1,82
258.77,262.3,1,83
262.3,262.57,15,84
266.2,268.1,1,86
269.37,272.4,1,87
